Instruções;;Este guia contém boas práticas para o preenchimento do arquivo. Siga as instruções abaixo para evitar erros ao fazer upload.;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;Campo público-alvo;;Você deve preencher apenas com as opções abaixo, separadas por vírgula, conforme exemplo na linha 13. ;;;;;;;;;
;;;;Opções:;B2C;B2B ;B2B2C;B2G;C2C;D2C;C2B;B2E;
;;;;;;;;;;;;;
;;Campo último investimento;;Você deve escolher apenas uma das opções abaixo para inserir.;;;;;;;;;
;;;;Opções:;Angel;Equity Crowdfunding ;Pre-Seed;Product Crowdfunding ;Seed;Serie A;Serie B;Serie C;Serie D
;;;;;;;;;;;;;
;;Regra para inserir membros;;"Os membros devem ser inseridos com nomes ordenados e separados por vírgula. Para inserir os cargos separe por barra ""/"" e siga o mesmo padrão.";;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
nome;ano de fundação;publico alvo;descrição;pais (Nesse campo temos que usar o padrão ISO 3166-1, você pode consultar nesse site https://www.dadosmundiais.com/codigos-de-pais.php);estado ( Mesma coisa para os estados, https://pt.wikipedia.org/wiki/ISO_3166-2:BR);rodadas de investimento;ultimo investimento;email da startup;Linkedin;segmento;membros;site;
Startup de teste;2017;B2C, B2B;Um breve histórico da startup, produtos e serviços da startup..;BR;SP;3;Serie A;startup@startupexemplo.com;startupexemplo;Energia;nome:Pedro Lucas,Lucas Vital/cargo: Develop, Gestor;https://inventta.avantti.app/;
